,d21-x01-y01_bins_low,d21-x01-y01NPC_7,d21-x01-y01error_NPC_7,d22-x01-y01_bins_low,d22-x01-y01NPC_7,d22-x01-y01error_NPC_7,d23-x01-y01_bins_low,d23-x01-y01NPC_7,d23-x01-y01error_NPC_7,d24-x01-y01_bins_low,d24-x01-y01NPC_7,d24-x01-y01error_NPC_7
0,97.0,0.5917471808972912,0.33170069727965507,97.0,2.4993531851939315,1.0003231471096772,97.0,0.37862679289287265,0.22124970347060582,97.0,3.398729694176987,2.206549895398285
1,133.0,1.326650449846814,0.6679420495298048,133.0,1.968645354954539,0.9729916010702828,133.0,2.391356186005509,1.1960646950526759,133.0,2.72826441557181,1.6928748715254378
2,174.0,0.8542703902684164,0.41124046474992726,174.0,1.8510556278723167,0.9214866282418634,174.0,3.3294692252184834,1.584990961215148,174.0,1.197219230406155,0.9273590961855511
3,220.0,0.9615888733406087,0.896405271283541,220.0,1.320375581665439,0.5513543172709047,220.0,0.4762392522427548,0.33189387345676874,220.0,1.25345326673346,0.7506586364328491
4,272.0,0.7191520266658044,0.3679458494418653,272.0,2.600094623210684,1.2460401836127344,272.0,4.2868465237736455,1.9552057406217553,272.0,2.513191712599272,1.3750443354317747
5,330.0,9.505571128031056,8.258560754532985,330.0,0.3499404495680709,0.21759494289482265,330.0,1.9681674878205355,1.031736748520729,330.0,0.7042657536965367,0.5276868460540151
6,395.0,1.365327071246994,0.7144754345147132,395.0,1.0927024124917983,0.7468689095762271,395.0,1.6800347473236878,1.430236461696189,395.0,1.3264691209263636e-21,1.3894446816203514e-21
7,468.0,0.8796149142139402,0.48320792738804325,468.0,0.5254383818139429,0.3824818204617768,468.0,0.8898036972177844,0.7053249944930132,468.0,5.0566931148572215e-21,5.2445129548335645e-21
8,548.0,2.556197779004134,1.9084046961131487,548.0,2.35972472707331,1.2389366666284216,548.0,1.108715030588695,0.7740528698346884,548.0,0.8678523467285734,0.7197296925596925
9,638.0,0.42261721532792157,0.4339153077111053,638.0,1.5882222597728046,0.8728707592906041,638.0,5.043581179737798,4.489312479298805,638.0,2.2124147911894436,1.6634397486167352
10,737.0,1.361645590118804,0.9567961764303626,737.0,0.9256826776373984,0.6172684071284887,737.0,5.914202661982618e-20,6.192121043911378e-20,737.0,1.212676748245745,1.3335791652670472
11,846.0,1.3171210048870448,1.1028585073598673,846.0,0.4742681772915784,0.5028011053389126,846.0,1.0000979930106948,0.9818217997316452,846.0,1.0,1.4142135623730951
12,967.0,0.16916346233973403,0.20285883632054863,967.0,0.20561352528167462,0.2128421608614266,967.0,1.2249725851135451e-18,1.4541591403098034e-18,967.0,1.9916816828716137,2.45728735785064
13,1101.0,5.559097936296073e-19,5.903331990332871e-19,1101.0,0.367778405839086,0.38917904495250805,1101.0,1.1569719360259308e-18,1.2732698548695228e-18,1101.0,2.14970733884289e-18,2.6474492150224595e-18
14,1248.0,1.2365071207274299,1.066768641561419,1248.0,0.3160559744561586,0.37499721227853594,1248.0,1.7903256530749915e-18,1.9433539964925716e-18,1248.0,4.868968747550299e-18,5.963260693583382e-18
15,1410.0,4.002254069491937e-18,4.460176511671569e-18,1410.0,6.684469637467789e-18,7.758499048697624e-18,1410.0,7.404544489468126,10.47160724020079,1410.0,1.0,1.4142135623730951
16,1588.0,2.4536234497700338e-17,3.0160096254727946e-17,1588.0,9.022770766583626e-18,1.0745680519190777e-17,1588.0,5.137800959535707e-17,7.265947797748898e-17,,,
17,1784.0,0.8240843555080704,0.6668927648930101,1784.0,1.2529583913818513e-17,1.50540183017767e-17,1784.0,6.179163613129981e-17,8.738654285931608e-17,,,
18,2000.0,1.998007187631057e-17,2.825609144746121e-17,2000.0,4.178666e+16,5.909526129827332e+16,2000.0,8.86471382930816e-17,1.2536598523963934e-16,,,
19,2238.0,1.3509694286426052e-16,1.910559030227102e-16,2238.0,1.3509694286426052e-16,1.910559030227102e-16,,,,,,
20,2500.0,1.0,1.4142135623730951,2500.0,1.0,1.4142135623730951,,,,,,
21,2787.0,1.0,1.4142135623730951,,,,,,,,,
