,d21-x01-y01_bins_low,d21-x01-y01NPC_7,d21-x01-y01error_NPC_7,d22-x01-y01_bins_low,d22-x01-y01NPC_7,d22-x01-y01error_NPC_7,d23-x01-y01_bins_low,d23-x01-y01NPC_7,d23-x01-y01error_NPC_7,d24-x01-y01_bins_low,d24-x01-y01NPC_7,d24-x01-y01error_NPC_7
0,97.0,1.1641506996660584,0.003892182283979955,97.0,1.1223780646150905,0.0034864267822453106,97.0,1.1376443122105002,0.003864294726301474,97.0,1.1233333450879301,0.0040480913244870615
1,133.0,1.0986800668025427,0.003360262960686797,133.0,1.0575837410613476,0.003393843685011338,133.0,1.0960103349653203,0.003889181005515173,133.0,1.0642374710656333,0.003735908485315706
2,174.0,1.0860427520470401,0.0032861418388433626,174.0,1.0623147946208078,0.0031975715261456333,174.0,1.0459119135762174,0.003270794013481403,174.0,1.0567320792290966,0.004097330711997949
3,220.0,1.034976535036848,0.0030493863599811016,220.0,1.0393192114009064,0.0032221012577080613,220.0,1.0361402164290527,0.0034532573857922306,220.0,1.0199065198860895,0.0035205453185686744
4,272.0,1.043553231231237,0.0031435440116687413,272.0,1.0184023976509897,0.003019618251000213,272.0,1.0243160595725749,0.0033429824018797664,272.0,1.0143747227905249,0.0037229183679647424
5,330.0,1.0292278610745782,0.0031840181058335397,330.0,1.011628294812873,0.0032184675277111574,330.0,1.0089556282929832,0.003391948974917084,330.0,1.039215039202522,0.003941421748729195
6,395.0,1.0298306922242981,0.003153379476368999,395.0,0.9999064592180353,0.0032243704481615346,395.0,1.0294151136063103,0.00369281961337645,395.0,0.9968008618086556,0.003952107209188159
7,468.0,1.008236458757292,0.003360625070212871,468.0,0.9674928247448223,0.003163100948388426,468.0,1.0051277650042638,0.0037464748489991766,468.0,1.0109382215391305,0.004798956721622976
8,548.0,1.0288666023075894,0.00344141484813434,548.0,1.0159467940928495,0.003542261269971769,548.0,1.0199169589794321,0.003951766786174301,548.0,1.004187513788299,0.0049510208942997866
9,638.0,0.9902726672126991,0.0033710857705980604,638.0,1.004394381161838,0.0037651020489150168,638.0,1.0245667911998833,0.004441589055328497,638.0,1.0046082350060848,0.005663257653665532
10,737.0,1.008473463037413,0.0035852596094669616,737.0,0.9991830360095482,0.003927630749433958,737.0,1.0026241203872972,0.004589425172967507,737.0,0.971422175946495,0.006956249878398848
11,846.0,0.9842291522803678,0.0036745302909731324,846.0,0.9853492850199767,0.004329402103024979,846.0,1.028905301320397,0.0051085900828372974,846.0,1.0292502114713686,0.008254031611005554
12,967.0,0.9985550078250559,0.004191776645594476,967.0,0.9797564902130693,0.004459289277907928,967.0,1.0240125578923582,0.005821503474121116,967.0,0.992159188153223,0.010349605953637632
13,1101.0,0.996006345025793,0.0044099992048333625,1101.0,1.0115811200390061,0.005114329871864908,1101.0,0.9871375249249146,0.006811140859069177,1101.0,1.0158342496203125,0.01632696194253139
14,1248.0,0.9716808343153699,0.004974915823474254,1248.0,0.9533006336038721,0.005704310952848349,1248.0,0.9575876868401725,0.007974001645334256,1248.0,0.988810145468109,0.020867643905938916
15,1410.0,0.9971497572196636,0.005492172516989783,1410.0,0.9517878176358464,0.0063800860971118594,1410.0,1.0192114092226638,0.009725696644311966,1410.0,1.1855396384909624,0.036152314310414185
16,1588.0,0.9714890716527287,0.006363346898193053,1588.0,1.0180931683890788,0.007534532073822635,1588.0,0.9890399349366088,0.013940768798706137,,,
17,1784.0,0.9560823253853933,0.007659081555618042,1784.0,0.9988503387006272,0.009674252254275349,1784.0,1.0701591300116238,0.02074227837311407,,,
18,2000.0,1.0001247158338784,0.00944681004825237,2000.0,0.9465841230806866,0.011983060277589452,2000.0,0.8541033169876384,0.03848394604405734,,,
19,2238.0,1.0108991630216606,0.011795259982396165,2238.0,1.0657616177674345,0.01596851899843126,,,,,,
20,2500.0,1.0256161251898968,0.01586315865362144,2500.0,1.4244699780358165,0.043367804086479306,,,,,,
21,2787.0,0.9404563464344755,0.021046494976488975,,,,,,,,,
